,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Tür,Isıtma Tipi,Bina Yaş,Binanın Kat Sayısı
0,950000,adana,120,4,4,Konut,Kombi Doğalgaz,25,6
1,1250000,adana,100,3,4,Konut,Kombi Doğalgaz,4,10
2,1750000,adana,89,4,3,Konut,Kombi Doğalgaz,0,14
3,1300000,adana,40,6,2,Konut,Kombi Doğalgaz,0,14
4,1700000,adana,140,1,4,Konut,Klimalı,7,4
5,765000,adana,40,12,2,Konut,Klimalı,7,13
6,1700000,adana,90,2,3,Konut,Kombi Doğalgaz,0,14
7,3950000,adana,180,,5,Konut,Klimalı,18,2
8,1995000,adana,105,8,4,Konut,Kombi Doğalgaz,4,11
9,2550000,adana,110,4,4,Konut,Kombi Doğalgaz,7,11
10,2465000,adana,100,2,3,Konut,Kombi Doğalgaz,0,6
11,2085000,adana,130,2,4,Konut,Kombi Doğalgaz,18,9
12,1785000,adana,90,2,3,Konut,Klimalı,7,3
13,2090000,adana,100,2,4,Konut,Kombi Doğalgaz,4,10
14,3200000,adana,140,5,4,Konut,Klimalı,3,5
15,975000,adana,45,14,2,Konut,Kombi Doğalgaz,0,14
16,1100000,adana,45,4,2,Konut,Klimalı,0,12
17,4200000,adana,220,8,5,Konut,Kombi Doğalgaz,25,12
18,1395000,adana,80,12,3,Konut,Klimalı,0,13
19,13000000,adana,280,16,6,Konut,Merkezi (Pay Ölçer),4,20
20,2370000,adana,85,1,3,Konut,Kombi Doğalgaz,0,14
21,27000004,adana,125,1,,Konut,Kombi Doğalgaz,7,10
22,2390000,adana,140,6,4,Konut,Kombi Doğalgaz,25,8
23,4100000,adana,195,,5,Konut,Sobalı,7,2
24,3800000,adana,110,17,4,Konut,Kombi Doğalgaz,3,19
25,2300000,adana,130,4,4,Konut,Kombi Doğalgaz,7,4
26,1185000,adana,70,2,3,Konut,Klimalı,18,12
27,5498000,adana,200,9,6,Konut,Kombi Doğalgaz,0,15
28,1995000,adana,110,5,4,Konut,Klimalı,25,7
29,1295000,adana,80,1,3,Konut,Klimalı,,10
30,6250000,adana,200,,6,Konut,Kombi Doğalgaz,18,3
31,1600000,adana,110,4,4,Konut,Klimalı,4,11
32,13000000,adana,280,16,6,Konut,Merkezi (Pay Ölçer),4,20
33,2250000,adana,115,1,3,Konut,Klimalı,7,5
34,1850000,adana,105,7,4,Konut,Kombi Doğalgaz,4,13
35,1650000,adana,110,11,4,Konut,Kombi Doğalgaz,4,13
36,166500090,adana,85,2,4,Konut,Klimalı,25,12
37,1800000,adana,130,,3,Konut,Klimalı,18,1
38,1340000,adana,95,5,3,Konut,Klimalı,3,5
39,97500002,adana,150,,4,Konut,Kombi Doğalgaz,4,3
40,2500000,adana,147,1,4,Konut,Klimalı,4,5
41,1180000,adana,80,3,3,Konut,Klimalı,4,12
42,2500000,adana,140,1,4,Konut,Klimalı,0,5
43,2500000,adana,145,4,4,Konut,Klimalı,7,5
44,2200000,adana,110,,3,Konut,Klimalı,25,2
45,2500000,adana,130,1,3,Konut,Klimalı,7,6
46,2390000,adana,100,2,3,Konut,Kombi Doğalgaz,0,5
47,1500000,adana,45,,2,Konut,Klimalı,0,2
48,1760000,adana,85,4,3,Konut,Klimalı,4,10
49,2900000,adana,100,,3,Konut,Isıtma Yok,25,2
50,2485000,adana,100,6,3,Konut,Klimalı,0,10
51,2450000,adana,80,1,3,Konut,Isıtma Yok,0,8
52,2370000,adana,147,7,4,Konut,Kombi Doğalgaz,13,11
53,1100000,adana,45,6,2,Konut,Klimalı,4,13
54,1650000,adana,80,1,3,Konut,Doğalgaz Sobalı,4,13
55,5998000,adana,175,10,5,Konut,Kombi Doğalgaz,18,12
56,5998000,adana,200,10,5,Konut,Kombi Doğalgaz,13,12
57,3000000,adana,120,1,4,Konut,Klimalı,25,5
58,6900000,adana,149,10,5,Konut,Yerden Isıtma,0,14
59,1500000,adana,78,9,3,Konut,Kombi Doğalgaz,0,9
60,1350000,adana,76,1,3,Konut,Kombi Doğalgaz,0,9
61,1700000,adana,76,2,3,Konut,Kombi Doğalgaz,0,9
62,4100000,adana,160,1,5,Konut,Kombi Doğalgaz,0,9
63,2400000,adana,125,,3,Konut,Isıtma Yok,0,1
64,885000,adana,40,12,2,Konut,Kombi Doğalgaz,3,13
65,1550000,adana,50,5,2,Konut,Klimalı,4,13
66,3200000,adana,160,4,4,Konut,Klimalı,25,8
67,3350000,adana,100,,3,Konut,Klimalı,25,3
68,2575000,adana,85,2,3,Konut,Klimalı,7,8
69,1500000,adana,80,5,3,Konut,Isıtma Yok,13,6
70,12250000,adana,345,,11,Konut,Kombi Doğalgaz,7,3
71,2300000,adana,85,7,5,Konut,Klimalı,1,14
72,4620000,adana,170,11,5,Konut,Kombi Doğalgaz,7,12
73,2400000,adana,150,1,4,Konut,Kombi Doğalgaz,13,9
74,1400000,adana,93,2,3,Konut,Kombi Doğalgaz,0,5
75,1170000,adana,90,15,3,Konut,Kombi Doğalgaz,7,15
76,2100000,adana,125,5,4,Konut,Kombi Doğalgaz,1,8
77,1200000,adana,90,1,3,Konut,Isıtma Yok,7,15
78,1070000,adana,65,5,3,Konut,Klimalı,7,5
79,1100000,adana,40,1,2,Konut,Klimalı,0,10
80,3750000,adana,240,6,5,Konut,Kombi Doğalgaz,18,12
81,2930000,adana,120,7,4,Konut,Kombi Doğalgaz,7,12
82,975000,adana,50,14,2,Konut,Klimalı,0,14
83,2000000,adana,125,3,5,Konut,Isıtma Yok,25,3
84,2300000,adana,110,6,4,Konut,Kombi Doğalgaz,13,10
85,2650000,adana,165,9,4,Konut,Klimalı,13,9
86,2600000,adana,135,8,4,Konut,Kombi Doğalgaz,25,13
87,1920000,adana,120,1,4,Konut,Kombi Doğalgaz,0,5
88,2465000,adana,105,6,3,Konut,Kombi Doğalgaz,0,14
89,6750000,adana,230,4,5,Konut,Kombi Doğalgaz,7,16
90,2850000,adana,130,14,4,Konut,Kombi Doğalgaz,1,15
91,1240000,adana,85,1,3,Konut,Klimalı,18,4
92,1195000,adana,40,6,2,Konut,Isıtma Yok,4,6
93,20000000,adana,320,,6,Konut,Kombi Doğalgaz,0,2
94,2150000,adana,130,4,4,Konut,Kombi Doğalgaz,7,6
95,3150000,adana,115,,8,Konut,Sobalı,13,2
96,2020000,adana,90,8,3,Konut,Kombi Doğalgaz,7,12
97,3350000,adana,135,6,4,Konut,Kombi Doğalgaz,18,11
98,1650000,adana,100,,3,Konut,Klimalı,25,2
99,1480000,adana,80,2,3,Konut,Kombi Doğalgaz,1,5
100,978000,adana,40,1,2,Konut,Klimalı,18,10
101,1550000,adana,130,1,4,Konut,Kombi Doğalgaz,0,4
102,2075000,adana,65,12,3,Konut,Klimalı,4,12
103,1670000,adana,100,2,3,Konut,Kombi Doğalgaz,0,13
104,1985000,adana,100,5,4,Konut,Kombi Doğalgaz,0,11
105,2950000,adana,120,,4,Konut,Kombi Doğalgaz,7,3
106,11500002,adana,64,2,3,Konut,Kombi Doğalgaz,1,8
107,1750000,adana,82,6,3,Konut,Kombi Doğalgaz,,6
108,3425000,adana,125,4,4,Konut,Kombi Doğalgaz,7,4
109,2050000,adana,98,1,3,Konut,Klimalı,4,13
110,2465000,adana,88,6,3,Konut,Kombi Doğalgaz,0,14
111,2465000,adana,85,6,3,Konut,Kombi Doğalgaz,1,14
112,1995000,adana,70,9,3,Konut,Kombi Doğalgaz,3,9
113,1525000,adana,85,10,3,Konut,Kombi Doğalgaz,4,15
114,3125000,adana,135,2,4,Konut,Klimalı,25,9
115,3200000,adana,210,5,4,Konut,Güneş Enerjisi,13,6
116,8250000,adana,130,9,4,Konut,Kombi Doğalgaz,4,18
117,1125000,adana,45,3,2,Konut,Klimalı,0,13
118,1250000,adana,80,12,3,Konut,Kombi Doğalgaz,18,12
119,2750000,adana,250,,,Konut,Klimalı,18,2
120,1450000,adana,44,,2,Konut,Klimalı,1,2
121,1500000,adana,44,1,2,Konut,Klimalı,0,2
122,1450000,adana,45,1,2,Konut,Klimalı,0,2
123,1250000,adana,45,,2,Konut,Klimalı,0,2
124,7500000,adana,140,,5,Konut,Kombi Doğalgaz,0,2
125,2250000,adana,190,8,5,Konut,Kombi Doğalgaz,7,11
126,3750000,adana,110,,7,Konut,Klimalı,18,3
127,1500000,adana,78,9,3,Konut,Kombi Doğalgaz,0,9
128,1500000,adana,78,1,3,Konut,Kombi Doğalgaz,0,9
129,1500000,adana,76,2,3,Konut,Kombi Doğalgaz,0,9
130,1750000,adana,78,6,3,Konut,Kombi Doğalgaz,0,9
131,1500000,adana,78,9,3,Konut,Kombi Doğalgaz,0,9
132,1500000,adana,76,2,3,Konut,Kombi Doğalgaz,0,9
133,8450000,adana,210,14,5,Konut,Kombi Doğalgaz,18,15
134,1550000,adana,55,5,2,Konut,Klimalı,4,13
135,2095000,adana,100,11,4,Konut,Kombi Doğalgaz,7,15
136,1550000,adana,55,5,2,Konut,Klimalı,7,13
137,2465000,adana,95,6,3,Konut,Kombi Doğalgaz,0,14
138,2800000,adana,120,,4,Konut,Kombi Doğalgaz,4,3
139,2275000,adana,148,8,4,Konut,Kombi Doğalgaz,13,11
140,3000000,adana,115,,4,Konut,Klimalı,25,2
141,2950000,adana,130,1,5,Konut,Kombi Doğalgaz,13,15
142,2275000,adana,100,3,3,Konut,Kombi Doğalgaz,25,4
143,4000000,adana,70,,3,Konut,Klimalı,7,3
144,2100000,adana,120,1,4,Konut,Kombi Doğalgaz,18,4
145,1050000,adana,39,4,2,Konut,Kombi Doğalgaz,0,13
146,1480000,adana,90,5,3,Konut,Kombi Doğalgaz,13,10
147,3500000,adana,120,3,4,Konut,Kombi Doğalgaz,4,12
148,990000,adana,37,4,2,Konut,Kombi Doğalgaz,0,7
149,3050000,adana,190,1,5,Konut,Kombi Doğalgaz,13,11
150,9990000,adana,300,,7,Konut,Kombi Doğalgaz,7,3
151,425000,adana,45,1,2,Konut,Klimalı,18,12
152,2830000,adana,90,10,3,Konut,Kombi Doğalgaz,7,10
153,1325000,adana,90,1,4,Konut,Kombi Doğalgaz,0,5
