,fiyat,sehir,metrekare,Bulunduğu Kat,Isıtma Tipi,Bina Yaş,Binanın Kat Sayısı
2407,1950000,antalya,48,2.0,Klimalı,0.0,5
2416,4450000,antalya,50,1.0,Kombi Doğalgaz,0.0,3
2426,209990001,antalya,210,,Klimalı,0.0,5
2436,32000002,antalya,60,2.0,Klimalı,7.0,5
2482,4640000,antalya,36,1.0,Klimalı,0.0,3
2488,3800000,antalya,36,1.0,Klimalı,0.0,4
2503,3336000,antalya,60,1.0,Klimalı,0.0,4
2505,3800000,antalya,52,1.0,Klimalı,0.0,4
2506,3250000,antalya,47,2.0,Klimalı,0.0,4
2575,1800000,antalya,58,1.0,Klimalı,0.0,4
2597,1575000,antalya,70,1.0,Klimalı,7.0,3
2610,1800000,antalya,85,1.0,Klimalı,7.0,4
2611,3000000,antalya,40,1.0,Klimalı,4.0,3
2638,4890000,antalya,60,2.0,Kombi Doğalgaz,,5
2647,7300000,antalya,110,2.0,Yerden Isıtma,0.0,3
2689,1690000,antalya,65,1.0,Klimalı,0.0,3
2696,13500000,antalya,192,2.0,Kombi Doğalgaz,7.0,4
2748,2350000,antalya,60,2.0,Klimalı,0.0,5
2789,3000000,antalya,75,1.0,Klimalı,0.0,3
2810,3650000,antalya,50,1.0,Kombi Doğalgaz,0.0,3
2826,2300000,antalya,48,2.0,Yerden Isıtma,0.0,5
2857,3750000,antalya,55,1.0,Klimalı,7.0,4
2864,2050000,antalya,55,1.0,Klimalı,0.0,5
2883,1950000,antalya,50,1.0,Klimalı,,4
2890,2475000,antalya,47,2.0,Kombi Doğalgaz,0.0,5
2891,1590000,antalya,60,,Klimalı,4.0,3
2980,2100000,antalya,55,1.0,Kombi Doğalgaz,0.0,3
2987,1720000,antalya,58,1.0,Kombi Doğalgaz,7.0,3
3004,2375000,antalya,60,1.0,Kombi Doğalgaz,0.0,4
3012,2000000,antalya,40,2.0,Klimalı,0.0,4
3013,2780000,antalya,47,1.0,Klimalı,0.0,4
3021,5500000,antalya,53,1.0,Klimalı,0.0,4
3022,1750000,antalya,60,1.0,Klimalı,0.0,4
3030,2430000,antalya,45,1.0,Klimalı,0.0,5
3033,2190000,antalya,40,1.0,Klimalı,0.0,5
3053,2200000,antalya,40,1.0,Klimalı,0.0,5
3072,2850000,antalya,60,1.0,Klimalı,0.0,3
3131,6080000,antalya,45,2.0,Yerden Isıtma,0.0,5
3133,3500000,antalya,45,1.0,Klimalı,0.0,4
3163,2500000,antalya,64,,Klimalı,0.0,5
3164,1399000,antalya,60,1.0,Klimalı,0.0,4
3177,2850000,antalya,50,1.0,Klimalı,0.0,5
3189,3200000,antalya,50,2.0,Klimalı,4.0,5
3209,2150000,antalya,55,2.0,Kombi Doğalgaz,7.0,4
3215,2950000,antalya,50,1.0,Klimalı,4.0,3
3217,4000000,antalya,60,1.0,Klimalı,0.0,4
3248,1900000,antalya,55,1.0,Klimalı,7.0,3
3314,2800000,antalya,55,2.0,Klimalı,0.0,5
3315,4750000,antalya,50,1.0,Klimalı,7.0,5
3317,19800000,antalya,365,,Klimalı,0.0,4
3328,1600000,antalya,60,1.0,Klimalı,7.0,3
3374,4960000,antalya,49,2.0,Klimalı,0.0,4
3376,7265000,antalya,65,1.0,Klimalı,,4
3408,3300000,antalya,50,,Klimalı,0.0,3
3410,5615000,antalya,60,2.0,Klimalı,4.0,4
3416,2650000,antalya,80,1.0,Klimalı,7.0,3
3436,1760000,antalya,55,1.0,Klimalı,0.0,3
3439,2150000,antalya,60,,Klimalı,0.0,5
3478,4000000,antalya,45,1.0,Klimalı,0.0,5
3486,3350000,antalya,45,1.0,Klimalı,0.0,3
3506,4450000,antalya,50,1.0,Yerden Isıtma,0.0,5
3541,1600000,antalya,60,1.0,Klimalı,7.0,3
3542,1650000,antalya,40,,Klimalı,0.0,3
3543,1450000,antalya,40,2.0,Klimalı,0.0,4
3564,4950000,antalya,85,,Yerden Isıtma,7.0,3
3575,2200000,antalya,45,1.0,Klimalı,0.0,3
3581,2500000,antalya,75,2.0,Klimalı,0.0,4
3585,25000000,antalya,450,,Yerden Isıtma,0.0,3
3600,3050000,antalya,50,2.0,Klimalı,0.0,3
3609,4250000,antalya,50,1.0,Klimalı,7.0,5
3611,3900000,antalya,50,1.0,Klimalı,7.0,5
3615,3585000,antalya,55,1.0,Klimalı,7.0,5
3620,6500000,antalya,2,2.0,Klimalı,0.0,4
3640,4425000,antalya,60,2.0,Klimalı,4.0,4
3642,22700008,antalya,75,1.0,Klimalı,4.0,4
3670,1599999,antalya,55,1.0,Klimalı,7.0,4
3678,23000004,antalya,80,1.0,Klimalı,4.0,4
3683,3250000,antalya,45,1.0,Klimalı,0.0,3
3724,1685000,antalya,60,1.0,Klimalı,7.0,3
3732,5328914,antalya,48,1.0,Kombi Doğalgaz,0.0,5
3788,1475000,antalya,55,1.0,Klimalı,,3
3795,6413318,antalya,45,1.0,Kombi Doğalgaz,0.0,4
3818,2250000,antalya,60,2.0,Klimalı,0.0,3
5667,2500000,bursa,100,2.0,Kombi Doğalgaz,0.0,4
5722,2695000,bursa,131,1.0,Yerden Isıtma,0.0,5
5779,1329000,bursa,50,1.0,Kombi Doğalgaz,7.0,4
5780,1269000,bursa,60,2.0,Kombi Doğalgaz,7.0,4
5812,1329000,bursa,65,2.0,Kombi Doğalgaz,7.0,5
5876,9750000,bursa,449,,Kombi Doğalgaz,0.0,3
5979,2150000,bursa,75,1.0,Kombi Doğalgaz,7.0,5
6017,5900000,bursa,187,1.0,Kombi Doğalgaz,7.0,5
6029,1365000,bursa,60,2.0,Kombi Doğalgaz,4.0,4
6038,1335000,bursa,55,2.0,Kombi Doğalgaz,7.0,4
6049,1020000,bursa,30,1.0,Kombi Doğalgaz,0.0,4
6122,24000000,bursa,65,,Kombi Doğalgaz,,4
6169,25000000,bursa,239,,Klimalı,4.0,4
6177,1550000,bursa,40,1.0,Yerden Isıtma,0.0,4
6210,7100000,bursa,124,,Kombi Doğalgaz,0.0,3
6225,5000000,bursa,240,,Yerden Isıtma,0.0,3
6259,2490000,bursa,70,1.0,Kombi Doğalgaz,4.0,4
6274,16400002,bursa,55,1.0,Yerden Isıtma,0.0,3
6306,1350000,bursa,58,2.0,Kombi Doğalgaz,7.0,5
6433,21000009,bursa,60,1.0,Yerden Isıtma,0.0,5
6469,1250000,canakkale,55,2.0,Kombi Doğalgaz,0.0,4
