Net Metrekare,Brüt Metrekare,Oda Sayısı,Bulunduğu Kat,Eşya Durumu,Binanın Yaşı,Isıtma Tipi,Fiyat,Şehir,Binanın Kat Sayısı,Kullanım Durumu,Fiyat Durumu,Yatırıma Uygunluk,İlan Güncelleme Tarihi,Site İçerisinde,Takas,İlan Oluşturma Tarihi,Türü,Kullanım Durumu,Kategorisi,Krediye Uygunluk,Tapu Durumu,İpotek Durumu,Aidat,İlan Numarası,Banyo Sayısı
120 M2,150 M2,3+1,4.Kat,Eşyalı,21 Ve Üzeri,Kombi Doğalgaz,950.000,adana,6,Boş,Genel Fiyat ,,19 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14573816,1
100 M2,125 M2,3+1,3.Kat,Boş,4,Kombi Doğalgaz,1.250.000,adana,10,Boş,Genel Fiyat,,19 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,14572543,1
89 M2,95 M2,2+1,4.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1.750.000,adana,14,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,,,,14571244,1
40 M2,55 M2,1+1,6.Kat,Boş,0 (Yeni),Kombi Doğalgaz,1.300.000,adana,14,Boş,Genel Fiyat ,Yatırıma Uygun,22 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14571218,1
140 M2,150 M2,3+1,Düz Giriş (Zemin),Boş,5-10,Klimalı,1.700.000,adana,4,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,50 TL,14568968,1
40 M2,55 M2,1+1,12.Kat,Boş,5-10,Klimalı,765.000,adana,13,Kiracı Oturuyor,Genel Fiyat,,18 Ocak 2024,Hayır,,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14568944,1
90 M2,110 M2,2+1,2.Kat,,0 (Yeni),Kombi Doğalgaz,1.700.000,adana,14,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,Yok,100 TL,14568829,1
180 M2,750 M2,4+1,,Boş,16-20,Klimalı,3.950.000,adana,2,Mülk Sahibi Oturuyor,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,,,Konut,Mülk Sahibi Oturuyor,Satılık,KREDIYE UYGUN,,,,14567911,1
105 M2,145 M2,3+1,8.Kat,,4,Kombi Doğalgaz,1.995.000,adana,11,Boş,Genel Fiyat,Yatırıma Uygun,18 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,100 TL,14567682,1
110 M2,130 M2,3+1,4.Kat,,5-10,Kombi Doğalgaz,2.550.000,adana,11,Boş,Genel Fiyat ,Yatırıma Uygun,18 Ocak 2024,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,Yok,,14567494,1
100 M2,120 M2,2+1,2.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2.465.000,adana,6,Boş,Genel Fiyat ,,18 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,100 TL,14567432,1
130 M2,145 M2,3+1,2.Kat,Boş,16-20,Kombi Doğalgaz,2.085.000,adana,9,Boş,Genel Fiyat,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14565010,1
90 M2,110 M2,2+1,2.Kat,Boş,5-10,Klimalı,1.785.000,adana,3,Kiracı Oturuyor,Genel Fiyat ,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Kiracı Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14564957,1
100 M2,120 M2,3+1,2.Kat,Boş,4,Kombi Doğalgaz,2.090.000,adana,10,Boş,Genel Fiyat ,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat İrtifakı,,,14564942,1
140 M2,150 M2,3+1,5.Kat,Boş,3,Klimalı,3.200.000,adana,5,Boş,Genel Fiyat,Yatırıma Uygun,17 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,50 TL,14560974,2
45 M2,50 M2,1+1,14.Kat,Boş,0 (Yeni),Kombi Doğalgaz,975.000,adana,14,Boş,Genel Fiyat ,Yatırıma Uygun,16 Ocak 2024,Evet,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14554334,1
45 M2,60 M2,1+1,4.Kat,Boş,0 (Yeni),Klimalı,1.100.000,adana,12,Boş,Genel Fiyat ,Bilinmiyor,16 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun Değil,,,,14543529,1
220 M2,250 M2,4+1,8.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,4.200.000,adana,12,Mülk Sahibi Oturuyor,Genel Fiyat,Yatırıma Uygun,12 Ocak 2024,Evet,Var,,Konut,Mülk Sahibi Oturuyor,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14533197,1
80 M2,95 M2,2+1,12.Kat,,0 (Yeni),Klimalı,1.395.000,adana,13,Boş,Genel Fiyat,Bilinmiyor,16 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,,,,14531511,1 
280 M2,300 M2,5+1,16.Kat,,4,Merkezi (Pay Ölçer),13.000.000,adana,20,Boş,Genel Fiyat ,,15 Ocak 2024,Hayır,,,Konut,Boş,Satılık,Krediye Uygun,,,,14529402,2
85 M2,110 M2,2+1,1.Kat,Boş,0 (Yeni),Kombi Doğalgaz,2.370.000,adana,14,Boş,Genel Fiyat,Yatırıma Uygun,12 Ocak 2024,Hayır,Yok,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,,14523205,2
125 M2,175 M2,3.5+1,1.Kat,Boş,5-10,Kombi Doğalgaz,2.700.000arrow_downward%4,adana,10,Boş,Genel Fiyat,Yatırıma Uygun,22 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,Yok,,14509204,2
140 M2,150 M2,3+1,6.Kat,Boş,21 Ve Üzeri,Kombi Doğalgaz,2.390.000,adana,8,Boş,Genel Fiyat,Yatırıma Uygun,06 Ocak 2024,Hayır,Var,,Konut,Boş,Satılık,Krediye Uygun,Kat Mülkiyeti,,50 TL,14503916,1
