,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Bina Yaş,Isıtma Tipi,Binanın Kat Sayısı
25,1100000.0,adana,40.0,1.0,2.0,0.0,Kombi Doğalgaz,4
40,1550000.0,adana,55.0,5.0,2.0,7.0,Klimalı,5
99,1100000.0,adana,70.0,1.0,2.0,7.0,Kombi Doğalgaz,5
108,790000.0,adana,45.0,2.0,2.0,0.0,Kombi Doğalgaz,4
119,1550000.0,adana,60.0,5.0,2.0,7.0,Klimalı,2
120,1180000.0,adana,44.0,1.0,2.0,0.0,Klimalı,2
126,1175000.0,adana,45.0,1.0,2.0,7.0,Klimalı,3
170,850000.0,adana,45.0,5.0,2.0,0.0,Klimalı,2
301,8750003.0,adana,70.0,1.0,2.0,0.0,Kombi Doğalgaz,2
310,1285000.0,adana,45.0,1.0,2.0,7.0,Kombi Doğalgaz,5
326,1275000.0,adana,45.0,5.0,2.0,7.0,Kombi Doğalgaz,5
413,3800000.0,antalya,36.0,1.0,2.0,0.0,Klimalı,2
423,3250000.0,antalya,47.0,2.0,2.0,0.0,Klimalı,5
471,1800000.0,antalya,85.0,1.0,2.0,7.0,Sobalı,2
482,2180000.0,antalya,55.0,1.0,2.0,0.0,Merkezi Doğalgaz,5
506,2500000.0,antalya,45.0,2.0,2.0,0.0,Kombi Doğalgaz,5
509,2250000.0,antalya,45.0,1.0,2.0,25.0,Yerden Isıtma,3
525,4335000.0,antalya,10.0,1.0,2.0,13.0,Kombi Doğalgaz,7
539,2400000.0,antalya,70.0,2.0,2.0,7.0,Kombi Doğalgaz,3
558,3000000.0,antalya,75.0,1.0,2.0,0.0,Klimalı,3
565,1250000.0,antalya,41.0,1.0,2.0,0.0,Kombi Doğalgaz,7
574,2300000.0,antalya,48.0,2.0,2.0,0.0,Kombi Doğalgaz,3
598,2050000.0,antalya,55.0,1.0,2.0,0.0,Klimalı,2
706,2500000.0,antalya,62.0,2.0,2.0,7.0,Kombi Doğalgaz,2
713,2200000.0,antalya,40.0,1.0,2.0,0.0,Yerden Isıtma,2
738,1500000.0,antalya,55.0,2.0,2.0,13.0,Klimalı,4
740,2900000.0,antalya,65.0,1.0,2.0,0.0,Klimalı,3
765,1399000.0,antalya,60.0,1.0,2.0,0.0,Yerden Isıtma,2
773,1489000.0,antalya,60.0,1.0,2.0,13.0,Kombi Doğalgaz,6
835,2150000.0,antalya,65.0,1.0,2.0,13.0,Kombi Doğalgaz,2
845,2800000.0,antalya,55.0,2.0,2.0,0.0,Kombi Doğalgaz,4
855,3600000.0,antalya,50.0,1.0,2.0,25.0,Klimalı,6
864,5100000.0,antalya,53.0,1.0,2.0,0.0,Klimalı,5
870,4960000.0,antalya,49.0,2.0,2.0,0.0,Kombi Doğalgaz,4
896,1650000.0,antalya,45.0,2.0,2.0,25.0,Kombi Doğalgaz,2
923,3350000.0,antalya,45.0,1.0,2.0,0.0,Kombi Doğalgaz,4
964,4440000.0,antalya,52.0,2.0,2.0,0.0,Klimalı,2
975,2200000.0,antalya,45.0,1.0,2.0,0.0,Yerden Isıtma,3
993,3900000.0,antalya,50.0,1.0,2.0,7.0,Klimalı,5
1030,4000000.0,antalya,110.0,5.0,2.0,0.0,Klimalı,3
1036,3500000.0,antalya,50.0,2.0,2.0,13.0,Kombi Doğalgaz,3
1088,6413318.0,antalya,45.0,1.0,2.0,0.0,Kombi Doğalgaz,7
1116,1650000.0,bursa,60.0,1.0,2.0,0.0,Kombi Doğalgaz,5
1203,1329000.0,bursa,65.0,2.0,2.0,7.0,Sobalı,2
1260,2500000.0,bursa,50.0,2.0,2.0,0.0,Kombi Doğalgaz,2
1331,1020000.0,bursa,30.0,1.0,2.0,0.0,Kombi Doğalgaz,4
1343,4000000.0,bursa,280.0,5.0,8.0,7.0,Klimalı,3
1449,16400002.0,bursa,55.0,1.0,2.0,0.0,Kombi Doğalgaz,6
1521,21000009.0,bursa,60.0,1.0,2.0,0.0,Kombi Doğalgaz,4
1538,1250000.0,canakkale,55.0,2.0,2.0,0.0,Kombi Doğalgaz,5
1543,1240000.0,canakkale,45.0,1.0,2.0,7.0,Kombi Doğalgaz,5
1544,1650000.0,canakkale,75.0,1.0,2.0,25.0,Kombi Doğalgaz,5
1545,1450000.0,canakkale,65.0,1.0,2.0,7.0,Kombi Doğalgaz,6
1548,1475000.0,canakkale,53.0,1.0,2.0,0.0,Kombi Doğalgaz,5
1559,1200000.0,canakkale,69.0,1.0,2.0,7.0,Kombi Doğalgaz,7
1569,1675000.0,canakkale,40.0,1.0,2.0,7.0,Yerden Isıtma,5
1579,1200000.0,canakkale,50.0,1.0,2.0,0.0,Kombi Doğalgaz,5
1586,1760000.0,canakkale,45.0,2.0,2.0,7.0,Kombi Doğalgaz,3
1587,1200000.0,canakkale,45.0,2.0,2.0,7.0,Kombi Doğalgaz,5
1600,1650000.0,canakkale,54.0,1.0,2.0,0.0,Kombi Doğalgaz,3
1601,1875000.0,canakkale,45.0,2.0,2.0,0.0,Kombi Doğalgaz,4
1609,2250000.0,canakkale,40.0,2.0,2.0,13.0,Kombi Doğalgaz,3
1621,1950000.0,canakkale,60.0,2.0,2.0,7.0,Kombi Doğalgaz,2
1622,1400000.0,canakkale,55.0,1.0,2.0,0.0,Kombi Doğalgaz,4
1632,1980000.0,canakkale,49.0,2.0,2.0,25.0,Kombi Doğalgaz,4
1640,2250000.0,canakkale,60.0,1.0,2.0,7.0,Kombi Doğalgaz,3
1648,1575000.0,canakkale,58.0,1.0,2.0,7.0,Kombi Doğalgaz,3
1649,2050000.0,canakkale,55.0,1.0,2.0,0.0,Kombi Doğalgaz,3
1650,1550000.0,canakkale,45.0,1.0,2.0,0.0,Kombi Doğalgaz,3
1651,1830000.0,canakkale,55.0,2.0,2.0,0.0,Kombi Doğalgaz,4
1670,2100000.0,canakkale,45.0,1.0,2.0,0.0,Kombi Doğalgaz,4
1677,1600000.0,canakkale,49.0,2.0,2.0,13.0,Kombi Doğalgaz,5
1681,2100000.0,canakkale,85.0,2.0,2.0,13.0,Yerden Isıtma,2
1722,4750000.0,canakkale,220.0,5.0,7.0,7.0,Kombi Doğalgaz,3
1724,1790000.0,canakkale,50.0,1.0,2.0,7.0,Kombi Doğalgaz,3
1736,2350000.0,canakkale,50.0,1.0,2.0,13.0,Kombi Doğalgaz,4
1762,20000002.0,canakkale,55.0,2.0,2.0,7.0,Kombi Doğalgaz,5
1767,15500003.0,canakkale,40.0,2.0,2.0,7.0,Merkezi Doğalgaz,3
1768,1550000.0,canakkale,40.0,2.0,2.0,7.0,Kombi Doğalgaz,4
1795,2850000.0,canakkale,50.0,1.0,2.0,0.0,Kombi Doğalgaz,4
1803,1400000.0,canakkale,58.0,2.0,2.0,0.0,Kombi Doğalgaz,3
1812,2825000.0,canakkale,55.0,2.0,2.0,0.0,Kombi Doğalgaz,3
1854,1095000.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,4
1863,1100000.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,4
1879,1050000.0,denizli,50.0,2.0,2.0,7.0,Sobalı,3
1881,1095000.0,denizli,49.0,1.0,2.0,7.0,Kombi Doğalgaz,7
1906,1390000.0,denizli,50.0,2.0,2.0,0.0,Kombi Doğalgaz,4
1918,1400000.0,denizli,55.0,2.0,2.0,13.0,Kombi Doğalgaz,7
1936,1299000.0,denizli,50.0,2.0,2.0,13.0,Kombi Doğalgaz,3
1960,950000.0,denizli,36.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2005,1095000.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,2
2012,1245000.0,denizli,55.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2047,1400000.0,denizli,45.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2055,1260000.0,denizli,55.0,2.0,2.0,0.0,Kombi Doğalgaz,4
2064,1150000.0,denizli,40.0,1.0,2.0,7.0,Kombi Doğalgaz,4
2066,1160000.0,denizli,45.0,2.0,2.0,0.0,Kombi Doğalgaz,6
2077,1550000.0,denizli,55.0,1.0,2.0,7.0,Kombi Doğalgaz,4
2078,10890005.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2079,1290000.0,denizli,40.0,2.0,2.0,13.0,Kombi Doğalgaz,4
2080,1379000.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2092,1149000.0,denizli,57.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2094,749000.0,denizli,55.0,1.0,2.0,0.0,Kombi Doğalgaz,2
2097,1150000.0,denizli,40.0,1.0,2.0,7.0,Merkezi Doğalgaz,4
2115,10890005.0,denizli,45.0,1.0,2.0,0.0,Kombi Doğalgaz,5
2116,1399000.0,denizli,55.0,2.0,2.0,7.0,Kombi Doğalgaz,2
2121,1199000.0,denizli,47.0,1.0,2.0,7.0,Merkezi Doğalgaz,5
2154,1150000.0,denizli,45.0,1.0,2.0,0.0,Kombi Doğalgaz,3
2160,1170000.0,denizli,49.0,1.0,2.0,13.0,Kombi Doğalgaz,5
2169,1600000.0,denizli,45.0,2.0,2.0,0.0,Kombi Doğalgaz,5
2175,899000.0,denizli,55.0,1.0,2.0,0.0,Kombi Doğalgaz,7
2194,1290000.0,denizli,55.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2198,1095000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2203,1320000.0,denizli,43.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2205,1275000.0,denizli,55.0,2.0,2.0,0.0,Kombi Doğalgaz,5
2206,1330000.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,6
2207,1260000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2212,1299000.0,denizli,60.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2227,899000.0,denizli,40.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2231,1350000.0,denizli,49.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2234,1750000.0,denizli,52.0,1.0,2.0,0.0,Kombi Doğalgaz,4
2235,2850000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,3
2245,1299000.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2246,1299000.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2261,1375000.0,denizli,50.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2276,1590000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,3
2285,1575000.0,denizli,45.0,2.0,2.0,13.0,Kombi Doğalgaz,2
2287,1795000.0,denizli,45.0,2.0,2.0,0.0,Merkezi Doğalgaz,5
2289,1690000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2295,1699000.0,denizli,50.0,1.0,2.0,7.0,Sobalı,3
2297,1425000.0,denizli,50.0,5.0,2.0,0.0,Kombi Doğalgaz,5
2298,1150000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
2301,935000.0,denizli,55.0,1.0,2.0,7.0,Kombi Doğalgaz,3
2303,1150000.0,denizli,54.0,1.0,2.0,7.0,Kombi Doğalgaz,6
2306,1275000.0,denizli,60.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2313,10750004.0,denizli,55.0,2.0,2.0,7.0,Yerden Isıtma,5
2314,1200000.0,denizli,55.0,1.0,2.0,7.0,Kombi Doğalgaz,5
2315,1350000.0,denizli,50.0,2.0,2.0,7.0,Kombi Doğalgaz,5
